218,"Arranged Marriage",1996,4
219,"Arrival, The",1996,3
236,"Associate, The",1996,3
251,"August",1996,2
280,"Back to Back",1996,4
294,"Bad Moon",1996,4
324,"Basquiat",1996,4
325,"Bastard Out of Carolina",1996,4
340,"Beautiful Girls",1996,4
344,"Beautiful Thing",1996,4
345,"Beavis and Butt-head Do America",1996,3
346,"Bed of Roses",1996,2
380,"Beyond the Call",1996,4
387,"Big Bully",1996,2
390,"Big Fall, The",1996,4
399,"Big Night",1996,4
402,"Big Squeeze, The",1996,4
418,"Bio-Dome",1996,3
420,"Bird of Prey",1996,4
421,"Birdcage, The",1996,4
433,"Black Out",1996,4
435,"Black Rose of Harlem",1996,4
437,"Black Scorpion II: Aftershock",1996,4
440,"Black Sheep",1996,3
448,"Blackwater Trail",1996,4
453,"Blast",1996,4
468,"Blood Money",1996,4
477,"Bloodhounds",1996,4
480,"Bloodsport 2",1996,4
503,"Body of Influence 2",1996,4
507,"Bogus",1996,2
514,"Bombshell",1996,4
526,"Bordello of Blood",1996,4
534,"Boston Kickout",1996,4
537,"Bound",1996,4
542,"Box of Moon Light",1996,4
548,"Boys",1996,3
551,"Boys Next Door, The",1996,2
555,"Brassed Off",1996,4
564,"Breakaway",1996,4
569,"Breaking the Waves",1996,4
587,"Broken Arrow",1996,4
588,"Broken English",1996,4
613,"Bugged",1996,3
615,"Bulletproof",1996,4
621,"Busted",1996,4
628,"Cable Guy, The",1996,3
637,"Calm at Sunset",1996,2
646,"Canterville Ghost, The",1996,2
649,"Captains Courageous",1996,2
664,"Carpool",1996,2
665,"Carried Away",1996,4
679,"Caught",1996,4
688,"Centerfold",1996,4
693,"Chain Reaction",1996,3
695,"Chamber, The",1996,4
703,"Chapter Perfect",1996,4
714,"Cherokee Kid, The",1996,3
721,"Children of the Corn IV: The Gathering",1996,4
726,"Children of the Revolution",1996,4
754,"City Hall",1996,4
1336,"Exit",1996,4
772,"Close Up",1996,4
838,"Cosi",1996,4
811,"Conspiracy of Fear, The",1996,4
844,"Courage Under Fire",1996,4
855,"Crackerjack 2",1996,4
858,"Craft, The",1996,4
861,"Crash Dive",1996,4
872,"Crime of the Century",1996,3
875,"Crimetime",1996,4
881,"Critical Choices",1996,4
887,"Crosscut",1996,4
890,"Crossworlds",1996,3
891,"Crow: City of Angels, The",1996,4
899,"Crying Child, The",1996,3
903,"Curdled",1996,4
915,"Cyberella: Forbidden Passions",1996,4
923,"D3: The Mighty Ducks",1996,2
950,"Dark Breed",1996,4
955,"Dark Planet",1996,4
957,"Dark Secrets",1996,4
960,"Darkdrive",1996,4
961,"Darkman III: Die Darkman Die",1996,4
969,"Daylight",1996,3
970,"Daytrippers, The",1996,4
971,"Dead Ahead",1996,3
984,"Dead Innocent",1996,4
996,"Deadly Charades",1996,4
1002,"Deadly Voyage",1996,4
1004,"Dear God",1996,2
1036,"Demolition High",1996,4
1067,"Diabolique",1996,4
1113,"Dog Watch",1996,4
1115,"Dogs: The Rise and Fall of an All-Girl Bookie Joint",1996,4
1122,"Dont Be a Menace to South Central While Drinking Your Juice in the Hood",1996,4
1125,"Dont Look Back",1996,4
1149,"Down Periscope",1996,3
1163,"Dragonheart",1996,3
1170,"Dreammaster: The Erotic Invader",1996,4
1190,"Dunston Checks In",1996,2
1193,"Dusting Cliff 7",1996,4
1196,"Désiré",1996,4
1202,"Earth Minus Zero",1996,2
1213,"Ed",1996,2
1214,"Eds Next Move",1996,4
1215,"Eddie",1996,3
1240,"Emma",1996,2
1249,"Empty Mirror, The",1996,3
1260,"English Patient, The",1996,4
1265,"Entertaining Angels: The Dorothy Day Story",1996,3
1273,"Eraser",1996,4
1282,"Erotic Confessions: Volume 2",1996,4
1294,"Escape Clause",1996,4
1311,"Evening Star, The",1996,3
1317,"Everyone Says I Love You",1996,4
1323,"Evita",1996,2
1337,"Exit in Red",1996,4
1339,"Exotic House of Wax, The",1996,4
1353,"Eye for an Eye",1996,4
1370,"Faithful",1996,4
1385,"Family Thing, A",1996,3
1387,"Fan, The",1996,4
1393,"Fargo",1996,4
1410,"Fear",1996,4
1418,"Feeling Minnesota",1996,4
1423,"Femalien",1996,4
1428,"Feng yue",1996,4
1458,"First Kid",1996,2
1484,"Fly Away Home",1996,2
1523,"Foxfire",1996,4
1528,"Frankenstein and Me",1996,2
1539,"Freebird... The Movie",1996,2
1541,"Freeway",1996,4
1553,"Frighteners, The",1996,4
1556,"From Dusk Till Dawn",1996,4
1560,"Frostbiter: Wrath of the Wendigo",1996,4
1569,"Funeral, The",1996,4
1572,"Further Gesture, A",1996,4
1584,"Galgameth",1996,2
1588,"Gang in Blue",1996,4
1612,"Get on the Bus",1996,4
1616,"Getting Away with Murder",1996,4
1620,"Ghost and the Darkness, The",1996,4
1721,"Guy",1996,4
1629,"Girl 6",1996,4
1638,"Girls Town",1996,4
1644,"Glimmer Man, The",1996,4
1679,"Gotti",1996,4
1682,"Grace of My Heart",1996,4
1689,"Grave, The",1996,4
1715,"Gullivers Travels",1996,2
1729,"Hak hap",1996,4
1747,"Happy Gilmore",1996,3
